posturl,Q1,Q2,Q3,Q4a,Q4b,Q4c,Q4d,Q4e,Q4f,Q4g,Q4h,Q4i,Q4j,Q5a,Q5b,country,lang
http://twitter.com/1/statuses/1000003198545903616,2,,,,,,,,,,,,,,,Indonesia,th
http://twitter.com/1/statuses/1000578130757783552,2,,,,,,,,,,,,,,,Indonesia,en
http://twitter.com/1/statuses/1000649562447663104,2,,,,,,,,,,,,,,,Brazil,en
http://twitter.com/1/statuses/1000840844180705280,2,,,,,,,,,,,,,,,Brazil,id
http://twitter.com/1/statuses/1000999782943424512,2,,,,,,,,,,,,,,,Brazil,en
http://twitter.com/1/statuses/1001032519725314048,1,2.0,2.0,,,,,,,,,,,3.0,3.0,Nigeria,en
http://twitter.com/1/statuses/1001136097999536128,2,,,,,,,,,,,,,,,Indonesia,en
http://twitter.com/1/statuses/1001195446436548610,2,,,,,,,,,,,,,,,Indonesia,en
http://twitter.com/1/statuses/1001428716705271809,2,,,,,,,,,,,,,,,Indonesia,tl
http://twitter.com/1/statuses/1001825376413286400,2,,,,,,,,,,,,,,,Nigeria,en
http://twitter.com/1/statuses/1002001533729427458,1,1.0,2.0,,,,,,,,,,,2.0,3.0,Brazil,en
http://twitter.com/1/statuses/1002661543446745088,2,,,,,,,,,,,,,,,Nigeria,en
http://twitter.com/1/statuses/1003030888513396736,2,,,,,,,,,,,,,,,Indonesia,en
http://twitter.com/1/statuses/1003294150479962112,2,,,,,,,,,,,,,,,Indonesia,en
http://twitter.com/1/statuses/1004257410083586048,2,,,,,,,,,,,,,,,Nigeria,id
http://twitter.com/1/statuses/1004264008617099264,2,,,,,,,,,,,,,,,Brazil,en
http://twitter.com/1/statuses/1004285969321943040,2,,,,,,,,,,,,,,,Nigeria,en
http://twitter.com/1/statuses/1004302064011247616,2,,,,,,,,,,,,,,,Nigeria,en
http://twitter.com/1/statuses/1004404855602139136,2,,,,,,,,,,,,,,,Nigeria,id
http://twitter.com/1/statuses/1004413781340971009,2,,,,,,,,,,,,,,,Indonesia,en
http://twitter.com/1/statuses/1004610902891679744,2,,,,,,,,,,,,,,,Brazil,id
http://twitter.com/1/statuses/1004726188324151296,2,,,,,,,,,,,,,,,Nigeria,en
http://twitter.com/1/statuses/1004816480716951554,2,,,,,,,,,,,,,,,Indonesia,en
http://twitter.com/1/statuses/1005320994750455808,2,,,,,,,,,,,,,,,Nigeria,en
